0.10429,0.26251,0.01904,0.49346,0.22975,0.14546,0.04315,0.06221,0.92260,0.99703,1.00000,1.00000,1.00000
0.35451,0.44674,0.24823,0.26411,0.42577,0.36477,0.05114,0.04086,0.86774,0.98986,1.00000,1.00000,1.00000
0.17032,0.36076,0.40208,0.04146,0.10201,0.24848,0.01447,0.04542,0.86998,0.99855,1.00000,1.00000,1.00000
0.20053,0.14136,0.24295,0.32870,0.29620,0.16172,0.03484,0.04909,0.88016,0.99658,1.00000,1.00000,1.00000
0.37096,0.17787,0.16589,0.19118,0.39804,0.09604,0.03330,0.05990,0.96567,0.99972,1.00000,1.00000,1.00000
0.36813,0.07950,0.24261,0.32777,0.48542,0.01094,0.00187,0.05625,0.06679,0.99622,1.00000,1.00000,1.00000
0.04032,0.46041,0.19529,0.20344,0.03494,0.45114,0.04805,0.04648,0.88794,0.98493,1.00000,1.00000,1.00000
0.34810,0.43692,0.26435,0.26524,0.42450,0.40039,0.07256,0.01063,0.61041,0.51243,1.00000,1.00000,1.00000
0.04545,0.45434,0.18518,0.18573,0.03124,0.45841,0.04162,0.04814,0.84668,0.98776,1.00000,1.00000,1.00000
0.75008,0.40822,0.67679,0.40344,0.87156,0.17567,0.04182,0.06979,0.07796,0.18857,4.00000,4.00000,4.00000
0.16855,0.79927,0.57273,0.32061,0.15775,0.73867,0.05727,0.11409,0.15953,0.29662,4.00000,4.00000,4.00000
0.26308,0.26298,0.52926,0.84953,0.32347,0.14766,0.01999,0.15664,0.00355,0.23558,4.00000,4.00000,4.00000
0.20380,0.13493,0.27851,0.35889,0.32462,0.08192,0.04204,0.27830,0.03920,0.26968,4.00000,4.00000,4.00000
0.85250,0.55929,0.45390,0.69601,0.80172,0.50997,0.06561,0.07399,0.05990,0.19347,5.00000,5.00000,5.00000
0.09826,0.16593,0.42227,0.74883,0.25486,0.14579,0.09467,0.09325,0.87015,0.92814,6.00000,6.00000,6.00000
0.12742,0.19382,0.02979,0.47482,0.22932,0.14807,0.02849,0.01822,0.68628,0.72080,8.00000,8.00000,8.00000
0.13902,0.17109,0.05427,0.46174,0.26150,0.14607,0.02525,0.03599,0.55194,0.68692,8.00000,8.00000,8.00000
0.15631,0.22446,0.51064,0.69815,0.27402,0.18839,0.17532,0.14235,0.68761,0.85253,9.00000,9.00000,9.00000
0.40006,0.98805,0.24217,0.33237,0.36168,0.78392,0.05534,0.00544,0.96028,0.30876,9.00000,9.00000,9.00000
0.83661,0.64904,0.59072,0.73786,0.68694,0.63535,0.11678,0.04462,0.96844,0.84342,9.00000,9.00000,9.00000
0.11310,0.20086,0.56430,0.74220,0.35491,0.14021,0.20579,0.18850,0.59477,0.92858,9.00000,9.00000,9.00000
0.41500,0.34624,0.26517,0.45828,0.39163,0.38977,0.14915,0.03880,0.98594,0.98085,9.00000,9.00000,9.00000
0.41328,0.35456,0.27764,0.46354,0.40669,0.38115,0.15025,0.02068,0.98888,0.97161,9.00000,9.00000,9.00000
0.13200,0.19053,0.05144,0.25474,0.41540,0.03790,0.45337,0.12348,0.69916,0.46256,9.00000,9.00000,9.00000
0.42335,0.01701,0.33754,0.38431,0.33008,0.11397,0.09243,0.05725,0.88861,0.80937,9.00000,9.00000,9.00000
